ID,Injury_Date,Total_Injuries,OBJECTID
1,2005/01/10 00:00:00,1,0
2,2005/01/11 00:00:00,1,1
3,2005/01/15 00:00:00,1,2
4,2005/01/22 00:00:00,5,3
5,2005/01/30 00:00:00,2,4
6,2005/01/31 00:00:00,1,5
7,2005/02/20 00:00:00,1,6
8,2005/02/25 00:00:00,1,7
9,2005/02/26 00:00:00,1,8
10,2005/04/05 00:00:00,1,9
11,2005/04/15 00:00:00,1,10
12,2005/04/28 00:00:00,1,11
13,2005/05/02 00:00:00,1,12
14,2005/05/08 00:00:00,1,13
15,2005/07/18 00:00:00,1,14
16,2005/07/20 00:00:00,1,15
17,2005/07/23 00:00:00,2,16
18,2005/08/05 00:00:00,1,17
19,2005/09/14 00:00:00,1,18
20,2005/09/30 00:00:00,1,19
21,2005/10/14 00:00:00,1,20
22,2005/11/11 00:00:00,1,21
23,2005/11/13 00:00:00,2,22
24,2005/12/08 00:00:00,1,23
25,2005/12/09 00:00:00,1,24
26,2005/12/11 00:00:00,1,25
27,2006/01/12 00:00:00,1,26
28,2006/01/19 00:00:00,1,27
29,2006/02/05 00:00:00,1,28
30,2006/02/06 00:00:00,1,29
31,2006/02/21 00:00:00,1,30
32,2006/03/02 00:00:00,1,31
33,2006/03/09 00:00:00,1,32
34,2006/03/14 00:00:00,1,33
35,2006/03/24 00:00:00,1,34
36,2006/04/03 00:00:00,1,35
37,2006/04/09 00:00:00,1,36
38,2006/04/10 00:00:00,1,37
39,2006/04/17 00:00:00,4,38
40,2006/05/24 00:00:00,1,39
41,2006/05/29 00:00:00,2,40
42,2006/06/15 00:00:00,2,41
43,2006/06/16 00:00:00,1,42
44,2006/06/29 00:00:00,1,43
45,2006/07/07 00:00:00,1,44
46,2006/07/08 00:00:00,1,45
47,2006/07/11 00:00:00,1,46
48,2006/07/13 00:00:00,1,47
49,2006/07/14 00:00:00,1,48
50,2006/07/23 00:00:00,2,49
51,2006/08/18 00:00:00,1,50
52,2006/08/22 00:00:00,1,51
53,2006/08/29 00:00:00,1,52
54,2006/08/30 00:00:00,1,53
55,2006/09/25 00:00:00,3,54
56,2006/11/13 00:00:00,1,55
57,2006/11/18 00:00:00,1,56
58,2006/12/10 00:00:00,1,57
59,2006/12/11 00:00:00,6,58
60,2006/12/27 00:00:00,1,59
61,2007/01/19 00:00:00,1,60
62,2007/01/29 00:00:00,1,61
63,2007/02/03 00:00:00,1,62
